household_income,zip_code, population
203009,02468,5374
201200,02493,11704
184107,01467,440
177083,02481,16320
176250,02030,5727
169505,01776,18197
157500,01741,4967
155952,01772,9560
155564,01770,4200
144461,01740,5019
143897,01773,5367
143682,02056,11407
143641,02052,12236
141829,01890,21863
141083,01778,13421
139811,02482,11204
138734,02492,20163
138202,02421,18359
137109,02420,13947
135685,02459,18519
135357,01451,4841
135179,01718,303
132736,01742,18948
132697,02641,222
131853,02465,11499
131500,01775,6841
131125,02461,7099
128813,02090,14809
128267,01748,15604
127813,01921,8105
126773,02067,17703
125321,01810,34251
125143,01886,22854
124659,02647,108
122969,01985,4370
121635,02071,1911
121157,01983,6286
120253,02332,15208
119342,01720,22197
117955,01745,309
117679,02025,8100
116875,01984,5039
116686,01450,10997
116125,01827,3299
115208,02110,1906
114688,01541,3432
114676,01730,13709
113622,02210,1984
113146,02467,23724
113087,02186,27204
112419,01864,15249
112115,02494,9377
112104,01756,5895
111806,01922,2649
111788,01590,9014
111652,01460,9157
110781,01568,7453
110671,02061,10651
110284,02199,1359
109841,02053,12965
109099,01940,12704
108558,01982,8098
108350,01746,14008
107111,01532,14644
107083,02763,1602
106989,02356,12923
106898,01833,8379
106296,01106,16077
106172,02478,25110
105646,01949,9273
105106,02466,8973
104472,01867,24687
104393,02109,3993
104275,02066,18002
104014,02142,3030
103996,01719,5102
103800,02460,9591
103693,02669,287
103411,01824,25582
103350,02043,22550
102721,01721,16985
102614,01612,4879
102422,01505,4399
101980,02038,32393
101863,01342,1577
101205,01519,6573
100709,01945,20163
100552,01581,18481
100544,01845,28963
100536,01887,22907
99886,01747,5934
99302,02093,11169
99187,02108,4049
99172,01760,34043
98979,01520,14724
98750,02339,14120
98305,01862,10904
97647,02476,16615
97617,01545,35818
97222,01434,1656
96773,02054,8007
96510,01907,14123
95895,02445,20723
95587,01474,1855
95465,01803,25190
94538,02035,17129
94531,01522,3038
94505,02367,2840
93776,01566,6945
93771,02341,10316
93605,02116,22229
93108,01879,11867
93082,02048,23389
92898,01834,6805
92656,02770,5163
92054,02644,4256
91672,02458,12093
91605,01821,31157
91471,01037,721
91287,01507,13126
91033,01543,8188
90969,01951,4145
90878,02021,22036
90625,01264,156
90470,02081,18855
90455,01564,7870
90399,02556,3021
89954,02359,18006
89808,01523,7847
89466,02474,27113
89313,01944,5247
89185,01929,3580
88794,01876,29103
88750,02050,25543
88681,01503,2917
88631,02715,3344
88534,02333,13996
88498,01701,31780
88481,02324,26931
88281,01529,3208
88242,02561,496
88125,01569,13703
87880,02717,4306
87740,02702,4651
87500,02184,36543
87428,02464,2868
87417,02019,16564
87387,02129,17954
87303,02668,2708
87273,01473,7361
86908,01095,14436
86766,02554,10154
86695,02375,9687
86601,02114,12801
86522,02472,32943
86409,02176,27509
86339,02364,12846
86233,02132,28791
86023,02718,6529
85994,01969,5995
85694,01880,25460
85691,02769,11742
85662,01430,6133
85558,02026,25111
84423,02779,6492
84390,01516,8624
84173,01028,15917
83917,01431,3147
83750,01254,1043
83583,02564,249
83500,02462,1306
83438,01452,4452
83149,01950,17662
82950,01534,6303
82418,02347,10933
82365,01010,3667
82238,02563,9972
82222,01093,282
81967,01077,9599
81892,02537,6301
81667,01343,72
81573,02379,6981
81513,02032,4103
81500,02351,16081
81334,02790,16142
81259,02760,27177
81258,01904,18053
81182,02451,17454
81136,01531,1109
81120,02576,5032
81067,02764,3837
81024,01469,7328
80806,02766,19280
80577,01068,1791
80508,01860,6536
80225,02557,4599
80019,02767,13588
79963,02062,28844
79647,01033,6214
79639,01036,5141
79435,02144,24539
79289,02446,28796
79286,01341,1583
79252,01754,10314
79063,01731,1893
79034,01801,39315
78750,02322,4421
78534,02138,36937
78516,02762,8581
78333,01266,1491
78250,01560,4565
78216,02739,6138
78204,02130,38214
78125,01054,1836
78080,01222,811
77945,02155,59193
77901,01938,13480
77767,01463,11782
77471,02190,16667
77448,01034,2061
77440,02045,10324
77434,02777,15997
77411,01330,1596
77404,01923,26963
76979,01542,1747
76925,02360,57275
76879,01826,30315
76607,02738,4935
76494,02382,14643
76463,01913,16554
76346,01237,2735
76218,02180,21611
76141,01906,27369
75995,01952,8495
75776,01354,1573
75727,02346,23541
75658,02140,17894
