zip_code,primary_city,county
01001,Agawam,Hampden County
01002,Amherst,Hampshire County
01003,Amherst,Hampshire County
01004,Amherst,Hampshire County
01005,Barre,Worcester County
01007,Belchertown,Hampshire County
01008,Blandford,Hampden County
01009,Bondsville,Hampden County
01010,Brimfield,Hampden County
01011,Chester,Hampden County
01012,Chesterfield,Hampshire County
01013,Chicopee,Hampden County
01014,Chicopee,Hampden County
01020,Chicopee,Hampden County
01021,Chicopee,Hampden County
01022,Chicopee,Hampden County
01026,Cummington,Hampshire County
01027,Easthampton,Hampshire County
01028,East Longmeadow,Hampden County
01029,East Otis,Berkshire County
01030,Feeding Hills,Hampden County
01031,Gilbertville,Worcester County
01032,Goshen,Hampshire County
01033,Granby,Hampshire County
01034,Granville,Hampden County
01035,Hadley,Hampshire County
01036,Hampden,Hampden County
01037,Hardwick,Worcester County
01038,Hatfield,Hampshire County
01039,Haydenville,Hampshire County
01040,Holyoke,Hampden County
01041,Holyoke,Hampden County
01050,Huntington,Hampshire County
01053,Leeds,Hampshire County
01054,Leverett,Franklin County
01056,Ludlow,Hampden County
01057,Monson,Hampden County
01059,North Amherst,Hampshire County
01060,Northampton,Hampshire County
01061,Northampton,Hampshire County
01062,Florence,Hampshire County
01063,Northampton,Hampshire County
01066,North Hatfield,Hampshire County
01068,Oakham,Worcester County
01069,Palmer,Hampden County
01070,Plainfield,Hampshire County
01071,Russell,Hampden County
01072,Shutesbury,Franklin County
01073,Southampton,Hampshire County
01074,South Barre,Worcester County
01075,South Hadley,Hampshire County
01077,Southwick,Hampden County
01079,Thorndike,Hampden County
01080,Three Rivers,Hampden County
01081,Wales,Hampden County
01082,Ware,Hampshire County
01083,Warren,Worcester County
01084,West Chesterfield,Hampshire County
01085,Westfield,Hampden County
01086,Westfield,Hampden County
01088,West Hatfield,Hampshire County
01089,West Springfield,Hampden County
01090,West Springfield,Hampden County
01092,West Warren,Worcester County
01093,Whately,Franklin County
01094,Wheelwright,Worcester County
01095,Wilbraham,Hampden County
01096,Williamsburg,Hampshire County
01097,Woronoco,Hampden County
01098,Worthington,Hampshire County
01101,Springfield,Hampden County
01102,Springfield,Hampden County
01103,Springfield,Hampden County
01104,Springfield,Hampden County
01105,Springfield,Hampden County
01106,Longmeadow,Hampden County
01107,Springfield,Hampden County
01108,Springfield,Hampden County
01109,Springfield,Hampden County
01111,Springfield,Hampden County
01115,Springfield,Hampden County
01116,Longmeadow,Hampden County
01118,Springfield,Hampden County
01119,Springfield,Hampden County
01128,Springfield,Hampden County
01129,Springfield,Hampden County
01133,Springfield,Hampden County
01138,Springfield,Hampden County
01139,Springfield,Hampden County
01144,Springfield,Hampden County
01151,Indian Orchard,Hampden County
01152,Springfield,Hampden County
01195,Springfield,Hampden County
01199,Springfield,Hampden County
01201,Pittsfield,Berkshire County
01202,Pittsfield,Berkshire County
01203,Pittsfield,Berkshire County
01220,Adams,Berkshire County
01222,Ashley Falls,Berkshire County
01223,Becket,Berkshire County
01224,Berkshire,Berkshire County
01225,Cheshire,Berkshire County
01226,Dalton,Berkshire County
01227,Dalton,Berkshire County
01229,Glendale,Berkshire County
01230,Great Barrington,Berkshire County
01235,Hinsdale,Berkshire County
01236,Housatonic,Berkshire County
01237,Lanesborough,Berkshire County
01238,Lee,Berkshire County
01240,Lenox,Berkshire County
01242,Lenox Dale,Berkshire County
01243,Middlefield,Hampshire County
01244,Mill River,Berkshire County
01245,Monterey,Berkshire County
01247,North Adams,Berkshire County
01252,North Egremont,Berkshire County
01253,Otis,Berkshire County
01254,Richmond,Berkshire County
01255,Sandisfield,Berkshire County
01256,Savoy,Berkshire County
01257,Sheffield,Berkshire County
01258,South Egremont,Berkshire County
01259,Southfield,Berkshire County
01260,South Lee,Berkshire County
01262,Stockbridge,Berkshire County
01263,Stockbridge,Berkshire County
01264,Tyringham,Berkshire County
01266,West Stockbridge,Berkshire County
01267,Williamstown,Berkshire County
01270,Windsor,Berkshire County
01301,Greenfield,Franklin County
01302,Greenfield,Franklin County
01330,Ashfield,Franklin County
01331,Athol,Worcester County
01337,Bernardston,Franklin County
01338,Buckland,Franklin County
01339,Charlemont,Franklin County
01340,Colrain,Franklin County
01341,Conway,Franklin County
01342,Deerfield,Franklin County
01343,Drury,Berkshire County
01344,Erving,Franklin County
01346,Heath,Franklin County
01347,Lake Pleasant,Franklin County
01349,Millers Falls,Franklin County
01350,Monroe Bridge,Franklin County
01351,Montague,Franklin County
01354,Gill,Franklin County
01355,New Salem,Franklin County
01360,Northfield,Franklin County
01364,Orange,Franklin County
01366,Petersham,Worcester County
01367,Rowe,Franklin County
01368,Royalston,Worcester County
01370,Shelburne Falls,Franklin County
01373,South Deerfield,Franklin County
01375,Sunderland,Franklin County
01376,Turners Falls,Franklin County
01378,Warwick,Franklin County
01379,Wendell,Franklin County
01380,Wendell Depot,Franklin County
01420,Fitchburg,Worcester County
01430,Ashburnham,Worcester County
01431,Ashby,Middlesex County
01432,Ayer,Middlesex County
01434,Devens,Worcester County
01436,Baldwinville,Worcester County
01438,East Templeton,Worcester County
01440,Gardner,Worcester County
01441,Westminster,Worcester County
01450,Groton,Middlesex County
01451,Harvard,Worcester County
01452,Hubbardston,Worcester County
01453,Leominster,Worcester County
01460,Littleton,Middlesex County
01462,Lunenburg,Worcester County
01463,Pepperell,Middlesex County
01464,Shirley,Middlesex County
01467,Still River,Worcester County
01468,Templeton,Worcester County
01469,Townsend,Middlesex County
01470,Groton,Middlesex County
01471,Groton,Middlesex County
01472,West Groton,Middlesex County
01473,Westminster,Worcester County
01474,West Townsend,Middlesex County
01475,Winchendon,Worcester County
01477,Winchendon Springs,Worcester County
01501,Auburn,Worcester County
01503,Berlin,Worcester County
01504,Blackstone,Worcester County
01505,Boylston,Worcester County
01506,Brookfield,Worcester County
01507,Charlton,Worcester County
01508,Charlton City,Worcester County
01509,Charlton Depot,Worcester County
01510,Clinton,Worcester County
01515,East Brookfield,Worcester County
01516,Douglas,Worcester County
01517,East Princeton,Worcester County
01518,Fiskdale,Worcester County
01519,Grafton,Worcester County
01520,Holden,Worcester County
01521,Holland,Hampden County
01522,Jefferson,Worcester County
01523,Lancaster,Worcester County
01524,Leicester,Worcester County
01525,Linwood,Worcester County
01526,Manchaug,Worcester County
01527,Millbury,Worcester County
01529,Millville,Worcester County
01531,New Braintree,Worcester County
01532,Northborough,Worcester County
01534,Northbridge,Worcester County
01535,North Brookfield,Worcester County
01536,North Grafton,Worcester County
01537,North Oxford,Worcester County
01538,North Uxbridge,Worcester County
01540,Oxford,Worcester County
01541,Princeton,Worcester County
01542,Rochdale,Worcester County
01543,Rutland,Worcester County
01545,Shrewsbury,Worcester County
01546,Shrewsbury,Worcester County
01550,Southbridge,Worcester County
01560,South Grafton,Worcester County
01561,South Lancaster,Worcester County
01562,Spencer,Worcester County
01564,Sterling,Worcester County
01566,Sturbridge,Worcester County
01568,Upton,Worcester County
01569,Uxbridge,Worcester County
01570,Webster,Worcester County
01571,Dudley,Worcester County
01580,Westborough,Worcester County
01581,Westborough,Worcester County
01582,Westborough,Worcester County
01583,West Boylston,Worcester County
01585,West Brookfield,Worcester County
01586,West Millbury,Worcester County
01588,Whitinsville,Worcester County
01590,Sutton,Worcester County
01601,Worcester,Worcester County
01602,Worcester,Worcester County
01603,Worcester,Worcester County
01604,Worcester,Worcester County
01605,Worcester,Worcester County
01606,Worcester,Worcester County
01607,Worcester,Worcester County
01608,Worcester,Worcester County
01609,Worcester,Worcester County
01610,Worcester,Worcester County
01611,Cherry Valley,Worcester County
01612,Paxton,Worcester County
01613,Worcester,Worcester County
01614,Worcester,Worcester County
01615,Worcester,Worcester County
01653,Worcester,Worcester County
01654,Worcester,Worcester County
01655,Worcester,Worcester County
01701,Framingham,Middlesex County
01702,Framingham,Middlesex County
01703,Framingham,Middlesex County
01704,Framingham,Middlesex County
01705,Framingham,Middlesex County
01718,Acton,Middlesex County
01719,Boxborough,Middlesex County
01720,Acton,Middlesex County
01721,Ashland,Middlesex County
01730,Bedford,Middlesex County
01731,Hanscom AFB,Middlesex County
01740,Bolton,Worcester County
01741,Carlisle,Middlesex County
01742,Concord,Middlesex County
01745,Fayville,Worcester County
01746,Holliston,Middlesex County
01747,Hopedale,Worcester County
01748,Hopkinton,Middlesex County
01749,Hudson,Middlesex County
01752,Marlborough,Middlesex County
01754,Maynard,Middlesex County
01756,Mendon,Worcester County
01757,Milford,Worcester County
01760,Natick,Middlesex County
01770,Sherborn,Middlesex County
01772,Southborough,Worcester County
01773,Lincoln,Middlesex County
01775,Stow,Middlesex County
01776,Sudbury,Middlesex County
01778,Wayland,Middlesex County
01784,Woodville,Middlesex County
01801,Woburn,Middlesex County
01803,Burlington,Middlesex County
01805,Burlington,Middlesex County
01806,Woburn,Middlesex County
01807,Woburn,Middlesex County
01808,Woburn,Middlesex County
01810,Andover,Essex County
01812,Andover,Essex County
01813,Woburn,Middlesex County
01815,Woburn,Middlesex County
01821,Billerica,Middlesex County
01822,Billerica,Middlesex County
01824,Chelmsford,Middlesex County
01826,Dracut,Middlesex County
01827,Dunstable,Middlesex County
01830,Haverhill,Essex County
01831,Haverhill,Essex County
01832,Haverhill,Essex County
01833,Georgetown,Essex County
01834,Groveland,Essex County
01835,Haverhill,Essex County
01840,Lawrence,Essex County
01841,Lawrence,Essex County
01842,Lawrence,Essex County
01843,Lawrence,Essex County
01844,Methuen,Essex County
01845,North Andover,Essex County
01850,Lowell,Middlesex County
01851,Lowell,Middlesex County
01852,Lowell,Middlesex County
01853,Lowell,Middlesex County
01854,Lowell,Middlesex County
01860,Merrimac,Essex County
01862,North Billerica,Middlesex County
01863,North Chelmsford,Middlesex County
01864,North Reading,Middlesex County
01865,Nutting Lake,Middlesex County
01866,Pinehurst,Middlesex County
01867,Reading,Middlesex County
01876,Tewksbury,Middlesex County
01879,Tyngsboro,Middlesex County
01880,Wakefield,Middlesex County
01885,West Boxford,Essex County
01886,Westford,Middlesex County
01887,Wilmington,Middlesex County
01888,Woburn,Middlesex County
01889,North Reading,Middlesex County
01890,Winchester,Middlesex County
01899,Andover,Essex County
01901,Lynn,Essex County
01902,Lynn,Essex County
01903,Lynn,Essex County
01904,Lynn,Essex County
01905,Lynn,Essex County
01906,Saugus,Essex County
01907,Swampscott,Essex County
01908,Nahant,Essex County
01910,Lynn,Essex County
01913,Amesbury,Essex County
01915,Beverly,Essex County
01921,Boxford,Essex County
01922,Byfield,Essex County
